title,links
QED: An Open-Source Multi-Agent System for Generating Mathematical Proofs on Open Problems,https://arxiv.org/abs/physics/0605007
Randomstrasse101: Open Problems of 2025,https://arxiv.org/abs/0906.2621
"Multiparty Quantum Key Agreement: Architectures, State-of-the-art, and Open Problems",https://arxiv.org/abs/1810.02698
Anomalous transport in the Fermi-Pasta-Ulam-Tsingou model: a review and open problems,https://arxiv.org/abs/1001.3520
Open problems in billiards and quantitative symplectic geometry,https://arxiv.org/abs/1210.2348
Open problems in K-stability of Fano varieties,https://arxiv.org/abs/2507.17246
"Herman Rings: Structure, Dynamics, and Open Problems",https://arxiv.org/abs/1710.02105
"A survey of edge-spectral-Turán type problems in spectral graph theory: Results, conjectures and open problems",https://arxiv.org/abs/2301.05026
Achievement sets -- current results and open problems,https://arxiv.org/abs/1809.07200
50 Open Problems: Ultraproduct II$_1$ factors,https://arxiv.org/abs/1604.03623
Open problems on Steiner trees and maximal distance minimizers,https://arxiv.org/abs/1012.5187
A List of Open Problems in Number Theory Posed by Ibn al-Khawwām (13th Century): Historical and Arithmetic Analysis,https://arxiv.org/abs/2604.04763
"Kontsevich graphs act on Nambu-Poisson brackets, VI. Open problems",https://arxiv.org/abs/0902.4207
Open problems of the 33rd Workshop on Cycles and Colourings,https://arxiv.org/abs/2102.03637
"Twin-Field Quantum Key Distribution: Protocols, Security, and Open Problems",https://arxiv.org/abs/1204.5247
The product of a weak Asplund space and a one-dimensional space is a weak Asplund space: over 45 years of open problem solved,https://arxiv.org/abs/2212.03825
Long time behaviour of one facilitated kinetically constrained models: results and open problems,https://arxiv.org/abs/1910.00934
A gallery of open problems in geometry that keep me puzzled and amused,https://arxiv.org/abs/hep-ph/0412331
On the combinatorics of tableaux -- A notebook of open problems,https://arxiv.org/abs/2310.09482
Open problems in information geometry: a discussion at FDIG 2025,https://arxiv.org/abs/1202.1619
Type R $λ$-Permutation Approach to Velleman's Open Problem,https://arxiv.org/abs/1909.11525
Open problems in ageing science: A roadmap for biogerontology,https://arxiv.org/abs/0909.4629
Resolving Open Problems on the Euler Sombor Index,https://arxiv.org/abs/2206.09516
Identifiability in Unlinked Linear Regression: Some Results and Open Problems,https://arxiv.org/abs/2406.00208
Open Problems in Computability Theory and Descriptive Set Theory,https://arxiv.org/abs/1102.3052
Descriptions of Cantor Sets: A Set-Theoretic Survey and Open Problems,https://arxiv.org/abs/1211.1024
Phasebook: A Survey of Selected Open Problems in Phase Retrieval,https://arxiv.org/abs/1207.4045
Short survey of results and open problems for parking problems on random trees,https://arxiv.org/abs/1305.5781
Solutions to two open problems in geometric group theory,https://arxiv.org/abs/1007.1223
The Li-Lin's open problem on $\mathbb{R}^N$,https://arxiv.org/abs/2510.26320
Open problems on compact constant mean curvature surfaces with boundary,https://arxiv.org/abs/1705.04055
Randomstrasse101: Open Problems of 2024,https://arxiv.org/abs/2301.07780
Open problems UP24,https://arxiv.org/abs/math/0109030
An affirmative answer to an open problem on Ramanujan's asymptotic formula of zero-balanced hypergeometric function,https://arxiv.org/abs/math-ph/9904003
On Brezis' First Open Problem: A Complete Solution,https://arxiv.org/abs/1205.4434
Lawvere's fourth open problem: Levels in the topos of symmetric simplicial sets,https://arxiv.org/abs/1901.08230
Open Problem: Two Riddles in Heavy-Ball Dynamics,https://arxiv.org/abs/1304.1149
Whole-Genome Phenotype Prediction with Machine Learning: Open Problems in Bacterial Genomics,https://arxiv.org/abs/2603.00819
On meromorphic solutions of certain Fermat-type difference and analogues equations concerning open problems,https://arxiv.org/abs/1503.01437
"Kirby diagrams, trisections and gems of PL 4-manifolds: relationships, results and open problems",https://arxiv.org/abs/1404.3220
Ball-Evans approximation problem: recent progress and open problems,https://arxiv.org/abs/2008.11168
"Combinatorial properties of continuous graphs: A survey of challenges, solutions and open problems",https://arxiv.org/abs/1802.02579
Solutions for certain Fermat-type PDDEs concerning an open problem of Xu and Wang,https://arxiv.org/abs/2402.12206
Answering Five Open Problems Involving Semigroup Conjugacy,https://arxiv.org/abs/2602.08065
Lipchitz curve selection and its application to Thamrongthanyalak's open problem,https://arxiv.org/abs/1105.1689
Open problems of the 32nd Workshop on Cycles and Colourings,https://arxiv.org/abs/nucl-ex/0303007
Separating Cones defined by Toric Varieties: Some Properties and Open Problems,https://arxiv.org/abs/1002.3786
Some open problems on Coxeter groups and unimodality,https://arxiv.org/abs/2007.04969
An open problem: Why are motif-avoidant attractors so rare in asynchronous Boolean networks?,https://arxiv.org/abs/0711.0605
Open problems in one-parameter operator semigroups theory,https://arxiv.org/abs/2411.06468
Increasing sequences in ordered Banach spaces -- new theorems and open problems,https://arxiv.org/abs/1803.04005
Towards Event-Triggered NMPC for Efficient 6G Communications: Experimental Results and Open Problems,https://arxiv.org/abs/math-ph/0005007
