global_index,source_json,paper_id,paper_title,paper_link,question_link,question_id,parser_is_solved,context_brief,original_question,self_contained_problem,macro_subject,category_tag,open_status,status_search_result,status_evidence,status_evidence_urls,confidence,validation_warnings,model,effort,elapsed_s,checkpoint_path
306,outputs/parse-paper/0906.2621.json,0906.2621,Unsolved Problems in Ordered and Orderable Groups,https://arxiv.org/abs/0906.2621,https://arxiv.org/pdf/0906.2621.pdf#page=17,q_3_9,false,totally ordered groups,"If G is a torsion-free group and H is a soluble normal subgroup of G with G/H a periodic Engel group, then can every G-invariant order on H be extended to make G an o-group?","Definitions and setup. A group $G$ is called an o-group (orderable group) if there exists a total order $\le$ on $G$ that is two-sided invariant, i.e. $a \le b$ implies $xay \le xby$ for all $x,y \in G$. Given a normal subgroup $H \trianglelefteq G$, a total order $\le$ on $H$ is called $G$-invariant if it is preserved under conjugation by every element of $G$: $a \le b$ implies $g^{-1}ag \le g^{-1}bg$ for every $g \in G$ and $a,b \in H$. We say a $G$-invariant order on $H$ extends to make $G$ an o-group if there is a two-sided invariant total order on $G$ whose restriction to $H$ coincides with the given order.

A group is periodic if every element has finite order. A group $Q$ is called an Engel group if for every pair of elements $x,y \in Q$ there exists an integer $n = n(x,y) \ge 1$ such that the iterated commutator $[x,{}_n y] := [[\dots[[x,y],y],\dots],y]$ (with $y$ appearing $n$ times) is trivial. A group is soluble if it has a finite derived series ending in the trivial subgroup, and torsion-free if it has no nontrivial element of finite order.

Question. Suppose $G$ is a torsion-free group and $H$ is a soluble normal subgroup of $G$ such that the quotient $G/H$ is a periodic Engel group. Must every $G$-invariant total order on $H$ extend to a two-sided invariant total order on $G$ (so that $G$ becomes an o-group)?",Algebra,Orderable groups,unknown,The problem is listed as an unsolved problem attributed to A. H. Rhemtulla in a compilation of open questions on ordered and orderable groups. No subsequent published resolution was found via search; status remains unverified.,"[{""title"": ""Unsolved Problems in Ordered and Orderable Groups"", ""url"": ""https://arxiv.org/abs/0906.2621"", ""snippet"": ""Compilation of open problems on ordered groups, including Rhemtulla's question on extending G-invariant orders when G/H is a periodic Engel group."", ""claim"": ""The problem is listed as an open question attributed to Rhemtulla.""}]",https://arxiv.org/abs/0906.2621,0.6,,opus,medium,17.08,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/000306__0906.2621__q_3_9__9f8f2d2a6a24.json
386,outputs/parse-paper/0909.0462.json,0909.0462,Some open problems related to stability,https://zbmath.org/900071708,https://zbmath.org/900071708,q_008,false,Convergence to stationarity for join-the-shortest-queue,"Consider a multi-server queue, for example a two-server queue, with stationary ergodic input {(t_n, sigma_n)} and individual queues in front of the servers, where each arriving customer immediately joins the shortest queue or chooses among tied shortest queues at random. Under what conditions, if any, do the queue-length or workload distributions converge weakly or in total variation to stationarity?","Consider a multi-server queue (for concreteness, take two identical servers) fed by a stationary and ergodic marked point process $\{(t_n,\sigma_n)\}_{n\in\mathbb Z}$, where $t_n\in\mathbb R$ are the arrival epochs of customers (with $t_n<t_{n+1}$) and $\sigma_n\ge 0$ is the service requirement of the $n$-th customer. Each server has its own dedicated queue, served in FIFO order. The routing discipline is join-the-shortest-queue (JSQ): upon arrival, customer $n$ instantaneously enters the queue with the smallest current queue length; if several queues are tied for the minimum length, the customer chooses one of them uniformly at random (independently of everything else).

Let $Q(t)=(Q_1(t),Q_2(t))$ denote the vector of queue lengths at time $t$ and $W(t)=(W_1(t),W_2(t))$ the vector of workloads (residual service times) at time $t$.

Determine general conditions on the stationary ergodic input $\{(t_n,\sigma_n)\}$ — in particular, conditions beyond the i.i.d. or Markovian setting and not relying on monotonicity or Loynes-type constructions — under which the distribution of $Q(t)$ (or of $W(t)$) converges, as $t\to\infty$, weakly, or in total variation, to a stationary distribution. Equivalently, identify (or rule out the existence of) natural sufficient conditions guaranteeing such convergence to stationarity for the JSQ multi-server queue with general stationary ergodic input.",Probability,Queueing theory / stability of stochastic networks,open,"Although stability and ergodicity of join-the-shortest-queue (JSQ) systems have been extensively studied under i.i.d. or Markovian assumptions (e.g., Foley–McDonald 2001, and various works on JSQ in the Halfin–Whitt regime and JSQ orbit queues), the question of weak or total-variation convergence to stationarity for multi-server JSQ queues with fully general stationary ergodic input remains, to the best of available evidence, open. The model lacks monotonicity and is not amenable to Loynes-type constructions, and no general result giving such conditions has been located in the literature.","[{""title"": ""Join the shortest queue: stability and exact asymptotics"", ""url"": ""https://projecteuclid.org/journals/annals-of-applied-probability/volume-11/issue-3/Join-the-shortest-queue-stability-and-exact-asymptotics/10.1214/aoap/1015345342.full"", ""snippet"": ""Stability and exact asymptotics for JSQ analyzed under Markovian assumptions."", ""claim"": ""Existing JSQ stability results rely on Markovian/i.i.d. assumptions rather than general stationary ergodic input.""}, {""title"": ""The stability of join-the-shortest-queue models with general input and output processes"", ""url"": ""https://www.researchgate.net/publication/2119515_The_stability_of_join-the-shortest-queue_models_with_general_input_and_output_processes_arXiv_mathPR_0505040"", ""snippet"": ""Studies stability of JSQ with general input/output, but focused on stability rather than full convergence to stationarity in TV."", ""claim"": ""Partial results exist for stability, but general TV/weak convergence under stationary ergodic input is not established.""}, {""title"": ""The generalized join the shortest orbit queue system: stability, exact tail asymptotics and stationary approximations"", ""url"": ""https://arxiv.org/abs/2104.08037"", ""snippet"": ""Recent (2021) work on a JSQ-type orbit queue model assumes Poisson inputs."", ""claim"": ""Recent JSQ literature continues to assume Poisson/Markovian inputs, supporting that the general stationary ergodic problem remains open.""}]",https://projecteuclid.org/journals/annals-of-applied-probability/volume-11/issue-3/Join-the-shortest-queue-stability-and-exact-asymptotics/10.1214/aoap/1015345342.full https://www.researchgate.net/publication/2119515_The_stability_of_join-the-shortest-queue_models_with_general_input_and_output_processes_arXiv_mathPR_0505040 https://arxiv.org/abs/2104.08037,0.7,,opus,medium,36.09,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/000386__0909.0462__q_008__5b076853175b.json
778,outputs/parse-paper/10.4310_ICCM.2014.v2.n1.a7.json,10.4310_ICCM.2014.v2.n1.a7,"Open problems: Descending cohomology, geometrically",https://zbmath.org/6408310,https://zbmath.org/6408310,q_002,false,Hilbert-scheme Albanese construction,"For a smooth projective threefold X over Q whose Tate-twisted third cohomology is expected to have a phantom abelian variety J(X)_Q, can this intermediate Jacobian or phantom abelian variety be constructed as, or at least in terms of, the Albanese variety of a Hilbert scheme that is geometrically attached to X?","Let $X$ be a smooth projective threefold defined over $\mathbb{Q}$. Consider the third $\ell$-adic cohomology with Tate twist $H^3(X_{\overline{\mathbb{Q}}},\mathbb{Q}_\ell(2))$, viewed as a Galois representation, and assume that there exists an abelian variety $J(X)_{\mathbb{Q}}$ over $\mathbb{Q}$ — a so-called phantom abelian variety — whose $\ell$-adic Tate module realizes this Galois representation (so that, over $\mathbb{C}$, $J(X)_{\mathbb{C}}$ corresponds to the algebraic part of the Griffiths intermediate Jacobian of $X_{\mathbb{C}}$).

Question: Does there exist a Hilbert scheme $\mathrm{Hilb}_P(X)$ of subschemes of $X$ (for some choice of Hilbert polynomial $P$, or more generally a moduli space of subschemes geometrically attached to $X$ in a functorial way), defined over $\mathbb{Q}$, such that $J(X)_{\mathbb{Q}}$ can be constructed as the Albanese variety $\mathrm{Alb}(\mathrm{Hilb}_P(X))$, or as a quotient or factor of such an Albanese variety, with the construction recovering the expected identification of Tate modules with $H^3(X_{\overline{\mathbb{Q}}},\mathbb{Q}_\ell(2))$?",Geometry,Intermediate Jacobians and Hilbert schemes,open,"No published resolution of this construction problem was located. The classical analogue (intermediate Jacobian of a cubic threefold realized as the Albanese of its Fano surface of lines) is known, but the general question of a uniform Hilbert-scheme/Albanese construction of a ""phantom"" abelian variety descending the algebraic part of $H^3$ to $\mathbb{Q}$ does not appear to have a known answer; it is posed as an open problem.","[{""title"": ""Abel-Jacobi maps associated to smooth cubic threefolds"", ""url"": ""https://www.math.stonybrook.edu/~jstarr/papers/ajc1.pdf"", ""snippet"": ""The intermediate Jacobian of a smooth cubic threefold is identified with the Albanese variety of its Fano surface of lines."", ""claim"": ""Provides the classical prototype for realizing an intermediate Jacobian as the Albanese of a Hilbert scheme of curves, but does not give a general construction over Q.""}, {""title"": ""The Abel–Jacobi isomorphism for the cubic fivefold"", ""url"": ""https://projecteuclid.org/journals/pacific-journal-of-mathematics/volume-122/issue-1/The-Abel-Jacobi-isomorphism-for-the-cubic-fivefold/pjm/1102702120.pdf"", ""snippet"": ""Only smooth hypersurfaces whose intermediate Jacobian is an abelian variety are quadrics, cubic and quartic threefolds in P^4, and the cubic fivefold in P^6."", ""claim"": ""Indicates the limited classical settings where the construction is known; no general result for arbitrary smooth projective threefolds over Q.""}]",https://www.math.stonybrook.edu/~jstarr/papers/ajc1.pdf https://projecteuclid.org/journals/pacific-journal-of-mathematics/volume-122/issue-1/The-Abel-Jacobi-isomorphism-for-the-cubic-fivefold/pjm/1102702120.pdf,0.6,,opus,medium,43.68,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/000778__10.4310_iccm.2014.v2.n1.a7__q_002__cae3ec6a4383.json
1066,outputs/parse-paper/1012.5187.json,1012.5187,"Unsolved Problems in Visibility Graphs of Points, Segments and Polygons",https://arxiv.org/abs/1012.5187,https://arxiv.org/pdf/1012.5187.pdf#page=9,q_049,false,Big-line-big-clique conjecture,"For all integers k ≥ 2 and ℓ ≥ 2, does there exist an integer h(k, ℓ) such that every planar point set of at least h(k, ℓ) points contains either ℓ collinear points or k mutually visible points?","Two distinct points p and q in a finite set S of points in the Euclidean plane are said to be mutually visible (with respect to S) if the open line segment joining p and q contains no other point of S. A subset C ⊆ S is called a visible clique if every pair of distinct points in C is mutually visible. A subset of S is called collinear if all its points lie on a common straight line.

Prove or disprove the following statement: for every pair of integers k ≥ 2 and ℓ ≥ 2, there exists an integer h(k, ℓ) such that every finite set S of at least h(k, ℓ) points in the Euclidean plane contains either ℓ collinear points or a visible clique of size k.",Combinatorics,Discrete geometry / visibility graphs,partially_solved,"The big-line-big-clique conjecture remains open in general for finite planar point sets. It is known to hold for k ≤ 5 (the case k = 4 was established by Kára–Pór–Wood, and k = 5 by Abel et al.), and trivially for ℓ ≤ 3. The conjecture is open for all k ≥ 6 with ℓ ≥ 4. The infinite analogue was disproved by Pór and Wood (2010), and a strengthened ""visible islands"" variant was disproved in 2022.","[{""title"": ""Big-line-big-clique conjecture - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Big-line-big-clique_conjecture"", ""snippet"": ""Kára, Pór, and Wood showed that the conjecture holds when k = 4 ... Abel et al. verified the conjecture for k = 5 ... open for all k ≥6 and ℓ≥4"", ""claim"": ""Conjecture verified for k ≤ 5; open for k ≥ 6, ℓ ≥ 4.""}, {""title"": ""The Big-Line-Big-Clique Conjecture is False for Infinite Point Sets"", ""url"": ""https://arxiv.org/abs/1008.2988"", ""snippet"": ""The infinite analogue is false"", ""claim"": ""Infinite version disproved.""}, {""title"": ""Big Line or Big Clique in Planar Point Sets — Open Problem Garden"", ""url"": ""http://garden.irmacs.sfu.ca/op/big_line_or_big_clique_in_planar_point_sets"", ""snippet"": ""Open problem on visibility in planar point sets"", ""claim"": ""Listed as an open problem.""}]",https://en.wikipedia.org/wiki/Big-line-big-clique_conjecture https://arxiv.org/abs/1008.2988 http://garden.irmacs.sfu.ca/op/big_line_or_big_clique_in_planar_point_sets,0.9,,opus,medium,26.54,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/001066__1012.5187__q_049__febe78c23426.json
1068,outputs/parse-paper/1012.5187.json,1012.5187,"Unsolved Problems in Visibility Graphs of Points, Segments and Polygons",https://arxiv.org/abs/1012.5187,https://arxiv.org/pdf/1012.5187.pdf#page=16,q_051,true,Hamiltonian circuits in embedded segment visibility graphs,Does every segment visibility graph contain a Hamiltonian cycle that becomes a non-self-intersecting Hamiltonian circuit in the embedded segment visibility graph?,"Let S = {s_1, s_2, ..., s_n} be a finite set of pairwise disjoint closed line segments in the plane in general position (no three segment endpoints collinear). The segment visibility graph G of S is the graph whose vertices are the 2n endpoints of the segments in S, and in which two vertices u and v are joined by an edge if and only if either (i) u and v are the two endpoints of the same segment in S, or (ii) the open segment uv does not meet any segment of S (i.e., u sees v among the obstacles S). The embedded segment visibility graph G' is the straight-line drawing of G obtained by drawing every edge of G as the corresponding straight line segment between its endpoints in the plane.

A Hamiltonian cycle in G is a cycle visiting each of the 2n vertices exactly once. Such a cycle is said to correspond to a (non-self-intersecting) Hamiltonian circuit in G' if, when its edges are drawn as straight line segments, no two of these segments cross each other.

Prove or disprove: for every finite set S of pairwise disjoint line segments in general position in the plane, the segment visibility graph G of S contains a Hamiltonian cycle that corresponds to a non-self-intersecting Hamiltonian circuit in the embedded segment visibility graph G'.",Combinatorics,visibility graphs,solved,"The conjecture has been resolved affirmatively by Hoffmann and Tóth, who proved that every segment visibility graph (for any finite family of pairwise disjoint segments in general position) contains a Hamiltonian cycle realizable as a non-self-intersecting straight-line Hamiltonian circuit, and gave an O(n log n) algorithm to construct it, building on a result of Bose, Houle, and Toussaint.","[{""title"": ""Alternating paths through disjoint line segments — Hoffmann & Tóth"", ""url"": ""https://www.sciencedirect.com/science/article/pii/S0020019003002432"", ""snippet"": ""Hoffmann and Tóth showed that for any finite family of pairwise disjoint line segments in general position in the plane there exists a simple (non-self-intersecting) Hamiltonian polygon whose vertices are the segment endpoints and which uses every input segment as an edge."", ""claim"": ""Establishes the existence of a non-self-intersecting Hamiltonian circuit in the embedded segment visibility graph, settling the conjecture.""}]",https://www.sciencedirect.com/science/article/pii/S0020019003002432,0.9,,opus,medium,16.98,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/001068__1012.5187__q_051__73d924262941.json
1070,outputs/parse-paper/1012.5187.json,1012.5187,"Unsolved Problems in Visibility Graphs of Points, Segments and Polygons",https://arxiv.org/abs/1012.5187,https://arxiv.org/pdf/1012.5187.pdf#page=17,q_053,true,Alternating paths in embedded segment visibility graphs,"In the embedded segment visibility graph G′ of a set S of n disjoint segments, is there always an alternating path containing at least O(log n) segments of S?","Let S be a set of n pairwise disjoint line segments in the plane in general position (no three segment endpoints collinear). The embedded segment visibility graph G' of S is the geometric graph whose vertices are the 2n endpoints of the segments of S, and whose edges consist of (i) the n segments of S themselves and (ii) all open visibility edges, i.e. pairs of endpoints p, q (belonging to possibly different segments) such that the open segment pq does not meet any segment of S. An alternating path in G' is a simple path whose edges alternate between segments of S and visibility edges. Prove or disprove: there exists a constant c > 0 such that for every such S of n disjoint segments, G' contains an alternating path that uses at least c log n segments of S.",Combinatorics,Visibility graphs / alternating paths,solved,"The conjecture, attributed to Urrutia, was proved by Hoffmann and Tóth: every set of n disjoint segments in general position admits an alternating path through Ω(log n) segments in its embedded segment visibility graph.","[{""title"": ""Alternating paths through disjoint line segments (Hoffmann & Tóth)"", ""url"": ""https://www.sciencedirect.com/science/article/pii/S0020019002004223"", ""snippet"": ""Hoffmann and Tóth showed that for every set of n pairwise disjoint line segments in general position, there is an alternating path of length Ω(log n)."", ""claim"": ""The Urrutia conjecture on Ω(log n) alternating paths in segment visibility graphs has been proved.""}]",https://www.sciencedirect.com/science/article/pii/S0020019002004223,0.85,,opus,medium,13.31,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/001070__1012.5187__q_053__082eeb52a9dd.json
1072,outputs/parse-paper/1101.4363.json,1101.4363,Recent developments and open problems in linear series,https://zbmath.org/6119622,https://zbmath.org/6119622,q_002,false,Equality cases in Chudnovsky-type bounds,"Let S be a finite set of points in P^N. Suppose there exists m such that a(S,m)/m = (a(S,1)+N-1)/N, where a(S,m) is the least degree of a divisor vanishing to order at least m on S. Must S then either lie in a hyperplane or be a star configuration? More generally, if the Waldschmidt constant satisfies e(S) = (a(S,1)+N-1)/N, must the same conclusion hold?","Let $S \subset \mathbb{P}^N$ be a finite set of points over an algebraically closed field. For a positive integer $m$, define
$$\alpha(S,m) = \min\{\deg F : F \in k[x_0,\dots,x_N] \text{ is a nonzero homogeneous form vanishing to order } \geq m \text{ at every point of } S\},$$
and write $\alpha(S) := \alpha(S,1)$. Define the Waldschmidt constant of $S$ by
$$\widehat{\alpha}(S) = \lim_{m \to \infty} \frac{\alpha(S,m)}{m} = \inf_{m \geq 1} \frac{\alpha(S,m)}{m}.$$

A star configuration of points in $\mathbb{P}^N$ is the set of points obtained as the pairwise intersections (codimension-$N$ flats) arising from a collection of hyperplanes in $\mathbb{P}^N$ in general linear position; equivalently, given $s \geq N$ hyperplanes meeting properly, $S$ is the set of points each of which is the intersection of exactly $N$ of these hyperplanes.

The Chudnovsky lower bound states that $\alpha(S,m)/m \geq (\alpha(S)+N-1)/N$ for all $m \geq 1$, hence $\widehat{\alpha}(S) \geq (\alpha(S)+N-1)/N$.

Question 1. Suppose there exists $m \geq 1$ such that
$$\frac{\alpha(S,m)}{m} = \frac{\alpha(S)+N-1}{N}.$$
Must $S$ either be contained in a hyperplane of $\mathbb{P}^N$ or be a star configuration?

Question 2. Suppose $\widehat{\alpha}(S) = (\alpha(S)+N-1)/N$. Must the same conclusion hold (i.e., $S$ is contained in a hyperplane or is a star configuration)?",Algebra,Waldschmidt constants and star configurations,unknown,"Active research surrounds Chudnovsky's conjecture, Waldschmidt constants, and star configurations (e.g., proofs of Chudnovsky-type bounds for very general points, monomial ideals, and stable Harbourne–Huneke containments). However, no source found directly resolves the equality-case characterization asked here, so the status of the precise question appears unknown/open based on available evidence.","[{""title"": ""Chudnovsky's Conjecture and the stable Harbourne–Huneke containment"", ""url"": ""https://par.nsf.gov/servlets/purl/10330262"", ""snippet"": ""Studies containment of symbolic and ordinary powers implying Demailly/Chudnovsky-type lower bounds; does not characterize equality cases as hyperplane or star configuration."", ""claim"": ""Recent work proves Chudnovsky-type bounds in many cases but does not resolve the equality characterization.""}, {""title"": ""Lower Bounds for Waldschmidt Constants of Generic Lines in P^3 and a Chudnovsky-Type Theorem"", ""url"": ""https://link.springer.com/article/10.1007/s00009-019-1328-8"", ""snippet"": ""Establishes Chudnovsky-type lower bounds for the Waldschmidt constant in specific configurations."", ""claim"": ""Related Chudnovsky-type results exist but do not address the precise equality-case question.""}]",https://par.nsf.gov/servlets/purl/10330262 https://link.springer.com/article/10.1007/s00009-019-1328-8,0.6,,opus,medium,33.95,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/001072__1101.4363__q_002__69c2739ef0a6.json
1074,outputs/parse-paper/1101.4363.json,1101.4363,Recent developments and open problems in linear series,https://zbmath.org/6119622,https://zbmath.org/6119622,q_004,false,Stability of speciality under multiplication,"Let X be the blow-up of P^2 at points p1, ..., pr, and let D = dH - m1E1 - ... - mrEr. Assume that D is special, meaning that D is effective and h^1(X,D)>0. Must every positive multiple nD with n>1 also be special?","Let $X$ be the blow-up of the complex projective plane $\mathbb{P}^2$ at $r$ distinct (possibly general) points $p_1,\dots,p_r$, with exceptional divisors $E_1,\dots,E_r$, and let $H$ denote the pullback of the hyperplane class on $\mathbb{P}^2$. For integers $d, m_1,\dots,m_r$, consider the divisor
$$D = dH - m_1 E_1 - \cdots - m_r E_r$$
on $X$. Call $D$ special if $D$ is effective and $h^1(X, \mathcal{O}_X(D)) > 0$. Equivalently, the linear system of plane curves of degree $d$ with multiplicity at least $m_i$ at $p_i$ is non-empty and has dimension strictly greater than the expected dimension $\max\{-1, \binom{d+2}{2} - 1 - \sum_i \binom{m_i+1}{2}\}$.

Question: If $D$ is special, must $nD = ndH - nm_1 E_1 - \cdots - nm_r E_r$ also be special for every integer $n > 1$?",Geometry,linear systems on blow-ups of P^2,unknown,"A targeted web search did not surface a definitive resolution of this stability-of-speciality-under-multiplication question for linear systems on blow-ups of $\mathbb{P}^2$. The problem is closely tied to the Segre–Harbourne–Gimigliano–Hirschowitz conjecture and remains discussed in the literature on linear systems on rational surfaces, but no clear proof or counterexample to this specific multiplication question was located.","[{""title"": ""Positivity of line bundles on general blow ups of P2"", ""url"": ""https://www.sciencedirect.com/science/article/pii/S0021869316300977"", ""snippet"": ""Studies linear systems and positivity questions on blow-ups of P^2 at general points, related to Segre/Harbourne–Gimigliano–Hirschowitz conjecture."", ""claim"": ""Topic remains an active area; no resolution of the multiplication-stability question is mentioned.""}, {""title"": ""General blow-ups of the projective plane"", ""url"": ""https://scispace.com/papers/general-blow-ups-of-the-projective-plane-3g18hyiw49"", ""snippet"": ""Discusses divisors and special linear systems on general blow-ups of P^2."", ""claim"": ""Surveys related conjectures without settling the specific question on speciality of nD.""}]",https://www.sciencedirect.com/science/article/pii/S0021869316300977 https://scispace.com/papers/general-blow-ups-of-the-projective-plane-3g18hyiw49,0.6,,opus,medium,28.0,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/001074__1101.4363__q_004__ead2ef96c341.json
1076,outputs/parse-paper/1101.4363.json,1101.4363,Recent developments and open problems in linear series,https://zbmath.org/6119622,https://zbmath.org/6119622,q_006,false,Cohomology of monomial subschemes on surfaces,"With the same notation, let Y be a general subscheme of a smooth projective surface S corresponding to a monomial ideal I, and let D be a divisor on S. Find conditions on S, I, and D that determine or constrain the cohomology of I_Y ⊗ O_S(D), ideally giving criteria that force h^0(I_Y ⊗ O_S(D)) = max{0, h^0(O_S(D)) - n}.","Let $S$ be a smooth projective surface over an algebraically closed field, and let $I \subset \mathcal{O}_S$ be a sheaf of ideals that is locally monomial: at every point $p \in S$ where $I$ is non-trivial, there exist local coordinates $(x,y)$ on $S$ at $p$ such that the stalk $I_p$ is generated by monomials $x^a y^b$. Let $Y \subset S$ be a general subscheme of the corresponding type, defined by the ideal sheaf $\mathcal{I}_Y = I$, and write $n := \dim_k H^0(\mathcal{O}_Y) = \mathrm{length}(\mathcal{O}_Y)$ for its colength. Let $D$ be a divisor on $S$ and consider the twisted ideal sheaf $\mathcal{I}_Y \otimes \mathcal{O}_S(D)$, fitting in the short exact sequence
$$0 \to \mathcal{I}_Y \otimes \mathcal{O}_S(D) \to \mathcal{O}_S(D) \to \mathcal{O}_Y \otimes \mathcal{O}_S(D) \to 0.$$
The naive expected value of $h^0(\mathcal{I}_Y \otimes \mathcal{O}_S(D))$ is $\max\{0,\, h^0(\mathcal{O}_S(D)) - n\}$, corresponding to the conditions imposed by passing through $Y$ being independent on $|D|$.

Find geometric and numerical conditions on the triple $(S, I, D)$ that determine, or at least constrain, the cohomology groups $h^i(\mathcal{I}_Y \otimes \mathcal{O}_S(D))$ for $i = 0, 1, 2$. In particular, give criteria on $(S, I, D)$ that force the equality
$$h^0(\mathcal{I}_Y \otimes \mathcal{O}_S(D)) = \max\{0,\, h^0(\mathcal{O}_S(D)) - n\}.$$",Geometry,Linear series and ideal sheaves on surfaces,open,"The question is a general open problem in the theory of linear series on surfaces, closely tied to interpolation problems (e.g., Nagata-type and SHGH conjectures for fat points, which are special cases of monomial subschemes). No general criteria forcing the expected value of $h^0$ for arbitrary monomial subschemes on arbitrary surfaces are known; the problem remains open in this generality, though partial results exist for specific surfaces (e.g., $\mathbb{P}^2$, blow-ups, abelian surfaces) and specific monomial ideal types.","[{""title"": ""Recent developments and open problems in linear series"", ""url"": ""https://arxiv.org/abs/1101.4363"", ""snippet"": ""A survey listing open problems on the cohomology of (twisted) ideal sheaves of subschemes corresponding to monomial ideals on surfaces."", ""claim"": ""The problem is posed as an open question in the survey on linear series.""}]",https://arxiv.org/abs/1101.4363,0.7,,opus,medium,30.61,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/001076__1101.4363__q_006__09605922d979.json
1078,outputs/parse-paper/1101.4363.json,1101.4363,Recent developments and open problems in linear series,https://zbmath.org/6119622,https://zbmath.org/6119622,q_008,false,Seshadri numbers under étale covers,"Let X be a projective manifold with large algebraic fundamental group and let L be an ample line bundle on X. Given a positive number N, does there exist a finite étale cover p: X'→X such that either (1) the Seshadri number of p^*L at every point of X' is greater than N, or (2) the Seshadri number of p_e^*(p_1^*L \otimes p_2^*L) along the diagonal in X'	imes X' is greater than N? If not in general, what condition on the fundamental group of X guarantees such a positive answer?","Let $X$ be a smooth complex projective manifold and let $L$ be an ample line bundle on $X$. Recall that the Seshadri constant of $L$ at a point $x \in X$ is
$$\varepsilon(L;x) \;=\; \inf_{C \ni x} \frac{L \cdot C}{\mathrm{mult}_x C},$$
where the infimum runs over all irreducible curves $C \subset X$ passing through $x$. For a smooth subvariety $D \subset X$, the Seshadri constant of $L$ along $D$ is
$$\varepsilon(L;D) \;=\; \sup\{\,t > 0 : \mu^*L - tE \text{ is nef}\,\},$$
where $\mu : \widetilde{X} \to X$ is the blow-up of $X$ along $D$ with exceptional divisor $E$.

Say that the algebraic fundamental group $\widehat{\pi}_1(X)$ is large if for every closed positive-dimensional subvariety $Z \subset X$, the image of $\pi_1(\widetilde{Z}) \to \widehat{\pi}_1(X)$ is infinite, where $\widetilde{Z} \to Z$ is a resolution of singularities.

Assume that $\widehat{\pi}_1(X)$ is large. For every real number $N > 0$, address the following:

(1) Does there exist a finite étale cover $p : X' \to X$ such that $\varepsilon(p^*L; x') > N$ for every $x' \in X'$?

(2) Letting $p_1, p_2 : X' \times X' \to X'$ be the two projections, does there exist a finite étale cover $p_e : Y \to X' \times X'$ (with $X' \to X$ a finite étale cover) such that the Seshadri constant of $p_e^*(p_1^*L \otimes p_2^*L)$ along the preimage of the diagonal $\Delta_{X'} \subset X' \times X'$ is greater than $N$?

(3) If the answer to (1) or (2) is negative or unclear in general, identify a condition on $\pi_1(X)$ that guarantees an affirmative answer.",Geometry,Seshadri constants and étale covers,partially_solved,"Part (1) was answered affirmatively by G. Di Cerbo and L. F. Di Cerbo (arXiv:1411.1033, 2014; published 2019): if the algebraic fundamental group of X is large and L is ample, then Seshadri constants of pullbacks of L can be made arbitrarily large by passing to a finite étale cover, confirming a conjecture of J.-M. Hwang. Analogous statements hold under residual finiteness of π₁(X) and for big and nef line bundles outside the augmented base locus. Related work on moving Seshadri constants for varieties of maximal Albanese dimension also provides affirmative results in that setting. The diagonal version (2) is closely connected and follows in the cases treated, though the literature focuses on (1).","[{""title"": ""On Seshadri constants of varieties with large fundamental group"", ""url"": ""https://arxiv.org/abs/1411.1033"", ""snippet"": ""If the algebraic fundamental group of X is large, the Seshadri constant ε(p*L) can be made arbitrarily large by passing to a finite étale cover p:X'→X, answering affirmatively a conjecture of J.-M. Hwang."", ""claim"": ""Part (1) is solved affirmatively under the largeness hypothesis on the algebraic fundamental group.""}, {""title"": ""Moving Seshadri Constants, and Coverings of Varieties of Maximal Albanese Dimension"", ""url"": ""https://www.researchgate.net/publication/331061800"", ""snippet"": ""Moving Seshadri constants of a big line bundle on a smooth projective complex variety of maximal Albanese dimension are arbitrarily large on suitable abelian étale coverings."", ""claim"": ""Related affirmative results in the maximal Albanese dimension setting.""}]",https://arxiv.org/abs/1411.1033 https://www.researchgate.net/publication/331061800,0.78,,opus,medium,32.19,outputs/self-contained-math-problem-checkpoints-sample-0704.1689/001078__1101.4363__q_008__fe6388c61dee.json
