source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
zbmath,7907374,Structure in deep reinforcement learning: a survey and open problems,https://zbmath.org/7907374,2024.0,open problems,links=https://doi.org/10.1613/jair.1.15703|https://arxiv.org/abs/2306.16021,https://zbmath.org/7907374,https://arxiv.org/pdf/2306.16021.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1613/jair.1.15703"", ""https://arxiv.org/abs/2306.16021""]"
zbmath,902732207,Solutions to two open problems in geometric group theory,https://zbmath.org/902732207,2025.0,open problems,links=https://arxiv.org/abs/2505.07873,https://zbmath.org/902732207,https://arxiv.org/pdf/2505.07873.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/2505.07873""]"
zbmath,900294243,"Algebraic functions with Fermat property, eigenvalues of transfer operator and Riemann zeros, and other open problems",https://zbmath.org/900294243,2016.0,open problems,links=https://arxiv.org/abs/1609.09842,https://zbmath.org/900294243,https://arxiv.org/pdf/1609.09842.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/1609.09842""]"
zbmath,7551330,Stationary Markovian arrival processes: results and open problems,https://zbmath.org/7551330,2022.0,open problems,links=https://doi.org/10.1017/S1446181122000013|https://arxiv.org/abs/1905.01736,https://zbmath.org/7551330,https://arxiv.org/pdf/1905.01736.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1017/S1446181122000013"", ""https://arxiv.org/abs/1905.01736""]"
zbmath,7117222,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,https://zbmath.org/7117222,2017.0,open problems,links=https://doi.org/10.2989/16073606.2017.1315749|https://arxiv.org/abs/1607.07787,https://zbmath.org/7117222,https://arxiv.org/pdf/1607.07787.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.2989/16073606.2017.1315749"", ""https://arxiv.org/abs/1607.07787""]"
zbmath,8064045,Increasing sequences in ordered Banach spaces -- new theorems and open problems,https://zbmath.org/8064045,2025.0,open problems,links=https://doi.org/10.1016/j.jmaa.2025.129694|https://arxiv.org/abs/2409.19768,https://zbmath.org/8064045,https://arxiv.org/pdf/2409.19768.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1016/j.jmaa.2025.129694"", ""https://arxiv.org/abs/2409.19768""]"
zbmath,900110206,Open Problems in the Theory of Ample Fields,https://zbmath.org/900110206,2011.0,open problems,links=https://arxiv.org/abs/1106.1310,https://zbmath.org/900110206,https://arxiv.org/pdf/1106.1310.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/1106.1310""]"
zbmath,902659692,On meromorphic solutions of certain Fermat-type difference and analogues equations concerning open problems,https://zbmath.org/902659692,2025.0,open problems,links=https://arxiv.org/abs/2502.02940,https://zbmath.org/902659692,https://arxiv.org/pdf/2502.02940.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/2502.02940""]"
zbmath,900267092,"The algebra ${\cal A}_q$, $q-$Onsager algebras and coideal subalgebras: two open problems",https://zbmath.org/900267092,2015.0,open problems,links=https://arxiv.org/abs/1512.02975,https://zbmath.org/900267092,https://arxiv.org/pdf/1512.02975.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/1512.02975""]"
zbmath,7767535,The puzzle of global double field theory: open problems and the case for a higher Kaluza-Klein perspective,https://zbmath.org/7767535,2021.0,open problems,links=https://doi.org/10.1002/prop.202000102|https://arxiv.org/abs/2007.04969,https://zbmath.org/7767535,https://arxiv.org/pdf/2007.04969.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1002/prop.202000102"", ""https://arxiv.org/abs/2007.04969""]"
